trade_id,ts_utc,as_of,asset_id,ticker,side,action_tag,quantity,price,currency,quantity_unit,route,value_usd,fx_to_usd,price_usd,engine_realized_delta,reported_pnl,diff_engine_minus_reported,note,_s3_key,reported_pnl_usd,diff_engine_minus_reported_usd,abs_diff
20200626-bebf7e96b19276cd,2020-06-26T13:30:39Z,2020-06-26,EQHdf42fb36dc6ea684,JPM,BUY,close,4.0,94.8,USD,shares,SPOT,,1.0,94.8,12.920000000000016,12.92,1.5987211554602254e-14,,engine/v1/trades/dt=2020-06-26/trade_20200626-bebf7e96b19276cd.json,,,1.5987211554602254e-14
20200615-884912b50e56d7bc,2020-06-15T18:06:44Z,2020-06-15,EQH7c4faf2878658b6a,BA,SELL,close,4.0,191.48,USD,shares,SPOT,,1.0,191.48,-3.3600000000000136,-3.36,-1.3766765505351941e-14,,engine/v1/trades/dt=2020-06-15/trade_20200615-884912b50e56d7bc.json,,,1.3766765505351941e-14
20200612-112f6230b35c7c4d,2020-06-12T14:26:56Z,2020-06-12,EQH2376a950ac221eac,BDX,BUY,close,2.0,233.53,USD,shares,SPOT,,1.0,233.53,0.6399999999999864,0.64,-1.3655743202889425e-14,,engine/v1/trades/dt=2020-06-12/trade_20200612-112f6230b35c7c4d.json,,,1.3655743202889425e-14
20200608-e0d0088ab6218fb0,2020-06-08T16:59:34Z,2020-06-08,EQH7c4faf2878658b6a,BA,SELL,close,4.0,229.63,USD,shares,SPOT,,1.0,229.63,1.6399999999999864,1.64,-1.354472090042691e-14,,engine/v1/trades/dt=2020-06-08/trade_20200608-e0d0088ab6218fb0.json,,,1.354472090042691e-14
20200608-5526390e48984ba9,2020-06-08T15:36:29Z,2020-06-08,EQH7c4faf2878658b6a,BA,BUY,close,6.0,230.24,USD,shares,SPOT,,1.0,230.24,4.139999999999986,4.14,-1.3322676295501878e-14,,engine/v1/trades/dt=2020-06-08/trade_20200608-5526390e48984ba9.json,,,1.3322676295501878e-14
20200610-2be8a24c36fa526a,2020-06-10T13:37:03Z,2020-06-10,EQH1193212f4e8bb727,AAL,SELL,close,30.0,17.31,USD,shares,SPOT,,1.0,17.31,0.5999999999999872,0.6,-1.27675647831893e-14,,engine/v1/trades/dt=2020-06-10/trade_20200610-2be8a24c36fa526a.json,,,1.27675647831893e-14
20200612-12f58d81236c223d,2020-06-12T16:25:44Z,2020-06-12,EQHa4f8629695ec5c1c,SONY,BUY,close,1.0,68.04,USD,shares,SPOT,,1.0,68.04,0.05999999999998806,0.06,-1.1934897514720433e-14,,engine/v1/trades/dt=2020-06-12/trade_20200612-12f58d81236c223d.json,,,1.1934897514720433e-14
20200522-25940147dcff90ca,2020-05-22T19:12:53Z,2020-05-22,EQH5122ffa0bc04e875,RCL,SELL,close,40.0,43.09,USD,shares,SPOT,,1.0,43.09,2.8000000000000114,2.8,1.1546319456101628e-14,,engine/v1/trades/dt=2020-05-22/trade_20200522-25940147dcff90ca.json,,,1.1546319456101628e-14
20200528-027e2b8fdd782b34,2020-05-28T19:56:20Z,2020-05-28,EQH7c4faf2878658b6a,BA,BUY,close,2.0,150.67,USD,shares,SPOT,,1.0,150.67,4.300000000000011,4.3,1.1546319456101628e-14,,engine/v1/trades/dt=2020-05-28/trade_20200528-027e2b8fdd782b34.json,,,1.1546319456101628e-14
20200615-ef4459dd8231560d,2020-06-15T18:31:42Z,2020-06-15,EQH7c4faf2878658b6a,BA,BUY,close,5.0,190.35,USD,shares,SPOT,,1.0,190.35,2.1999999999999886,2.2,-1.1546319456101628e-14,,engine/v1/trades/dt=2020-06-15/trade_20200615-ef4459dd8231560d.json,,,1.1546319456101628e-14
