asset_id,display_symbol,ticker,yahoo_ticker_norm,name,asset_class,region,n_total,n_weekday,n_weekend,nan_frac_total_calendar,nan_frac_weekday_only,max_abs_return,passes_current_25pct_calendar_nan,passes_40pct_calendar_nan,passes_weekday_25pct_nan,passes_min_1000_obs,passes_min_1260_obs
EQH2bf7298ef4988458,AMZN,AMZN,,Amazon.com Inc.,equity,NASDAQ,1824,1303,521,0.0,0.0,0.14049437642097473,True,True,True,True,True
EQH2c0d638ba05adfa7,KLAC,KLAC,,KLA-Tencor Corp.,equity,NASDAQ,1824,1303,521,0.0,0.0,2.3043301105499268,True,True,True,True,True
EQH2c395840959df95a,TSN,TSN,,Tyson Foods Inc.,equity,NYSE,1824,1303,521,0.0,0.0,0.16411277651786804,True,True,True,True,True
EQH2c535cf371d8d3f9,STX,STX,,Seagate Technology PLC,equity,NASDAQ,1824,1303,521,0.0,0.0,0.19112111628055573,True,True,True,True,True
EQH2c56ea5452301f13,CGNX,CGNX,,Cognex Corporation,equity,NASDAQ,1824,1303,521,0.0,0.0,0.2124142199754715,True,True,True,True,True
EQH2c5eae5ae0c990b5,SCHW,SCHW,,Charles Schwab Corp.,equity,NYSE,1824,1303,521,0.0,0.0,0.12769033014774323,True,True,True,True,True
EQH2c5fd385b2c7ff84,ANA.MC,ANA,,Acciona SA,equity,Cboe Europe,1824,1303,521,0.0,0.0,4.891088008880615,True,True,True,True,True
EQH2c6a76fb04a93161,ICE,ICE,,Intercontinental Exchange Inc,equity,NYSE,1824,1303,521,0.0,0.0,0.07491353154182434,True,True,True,True,True
EQH2c74c2be6a2d6486,HSY,HSY,,The Hershey Co,equity,NYSE,1824,1303,521,0.0,0.0,0.10847155004739761,True,True,True,True,True
EQH2c78709c512c7885,NVCR,NVCR,,Novocure Ltd,equity,NASDAQ,1824,1303,521,0.0,0.0,0.6845313906669617,True,True,True,True,True
EQH2c9352347355e66b,CINF,CINF,,Cincinnati Financial Corporation,equity,NASDAQ,1824,1303,521,0.0,0.0,0.13907983899116516,True,True,True,True,True
